Size,Standard_Throughput,Buffered_Throughput
1,0.294666,0.306783
2,0.660965,0.696523
4,1.081491,1.150443
8,2.379597,2.312672
16,4.719796,4.590045
32,9.473899,9.257156
64,18.600686,18.388237
128,37.554729,36.752024
256,74.445193,73.120743
512,147.08424,143.220334
1024,257.221856,246.674888
2048,410.601699,411.372357
4096,747.534665,737.779278
8192,1368.110512,1338.256747
16384,2346.738553,2280.001162
32768,3803.602597,3620.757652
65536,4962.44992,4279.573003
131072,4142.692211,4967.378802
262144,7990.34125,6991.756431
524288,10833.446184,9220.99787
1048576,12547.69219,11221.547312
