Size,Standard_Throughput,Buffered_Throughput
1,18.023336,7.243542
2,33.093132,12.562301
4,65.906069,28.247004
8,134.183301,62.485324
16,205.176047,74.97141
32,319.688703,152.543302
64,741.211504,334.908888
128,1488.217431,841.025279
256,3662.823504,1899.217222
512,6912.835158,3547.091186
1024,11353.548989,6510.014153
2048,18903.60477,11100.353729
4096,26236.176027,17327.824966
8192,31759.400829,24034.927221
16384,36314.546723,29480.129106
32768,44959.556483,36407.21264
65536,69343.875925,52824.846362
131072,90857.15323,65470.686852
262144,111069.809413,72676.554363
524288,98828.256103,56608.462476
1048576,85994.217493,45548.61854
