array_size,num_threads,num_buckets,initial_bucket_capacity,random_time,distribute_time,sort_time,rewrite_time,total_time
1024,1,1024,16,0.000010799,0.000060600,0.000026285,0.000026295,0.000159988
1024,1,2048,16,0.000012828,0.000104667,0.000036421,0.000048068,0.000294413
1024,1,4096,16,0.000008024,0.000159177,0.000059551,0.000080675,0.000508237
1024,1,8192,16,0.000013262,0.000313601,0.000111913,0.000152842,0.001054571
1024,1,16384,16,0.000018146,0.000555219,0.000222322,0.000296721,0.001981012
1024,1,32768,16,0.000028527,0.001168207,0.000440644,0.000573339,0.004271208
1024,1,65536,16,0.000048072,0.002274213,0.000876994,0.001160446,0.008254325
1024,2,1024,16,0.000013069,0.000074312,0.000046985,0.000061840,0.000259007
1024,2,2048,16,0.000012351,0.000092134,0.000090316,0.000113240,0.000439778
1024,2,4096,16,0.000013868,0.000139318,0.000176665,0.000203124,0.000816810
1024,2,8192,16,0.000012434,0.000210945,0.000350056,0.000402570,0.001542767
1024,2,16384,16,0.000012982,0.000389997,0.000689214,0.000753844,0.003066366
1024,2,32768,16,0.000013265,0.000743091,0.001450696,0.001615182,0.006155089
1024,2,65536,16,0.000013545,0.001305610,0.002805742,0.003298720,0.012348036
1024,4,1024,16,0.000021308,0.000055762,0.000056320,0.000062283,0.000243967
1024,4,2048,16,0.000020994,0.000065471,0.000108665,0.000128797,0.000460197
1024,4,4096,16,0.000022087,0.000083358,0.000208538,0.000238670,0.000809780
1024,4,8192,16,0.000023094,0.000125458,0.000411787,0.000483959,0.001653136
1024,4,16384,16,0.000020746,0.000210046,0.000816438,0.001017913,0.003205718
1024,4,32768,16,0.000021191,0.000381895,0.001647479,0.002011704,0.006581747
1024,4,65536,16,0.000020730,0.000663975,0.003184517,0.003787447,0.012470437
1024,8,1024,16,0.004772986,0.002828754,0.000064457,0.000069887,0.003041866
1024,8,2048,16,0.000040023,0.000064585,0.000113100,0.000127179,0.000449756
1024,8,4096,16,0.000040640,0.000069015,0.000219060,0.000258329,0.000838982
1024,8,8192,16,0.000038825,0.000091078,0.000406421,0.000516865,0.001604428
1024,8,16384,16,0.000038441,0.000121814,0.000784594,0.000994921,0.003095209
1024,8,32768,16,0.008839573,0.014591222,0.006473516,0.006073111,0.029739656
1024,8,65536,16,0.002433014,0.002046055,0.003405952,0.004083825,0.014452570
1024,12,1024,16,0.010965989,0.010908621,0.003267386,0.003268681,0.017530732
1024,12,2048,16,0.013395911,0.017147243,0.004912699,0.004926426,0.027139290
1024,12,4096,16,0.010632786,0.002448409,0.000240498,0.000283937,0.003269066
1024,12,8192,16,0.014812032,0.025432893,0.007662431,0.006964611,0.040725503
1024,12,16384,16,0.004826058,0.000123660,0.000906851,0.001112177,0.003355092
1024,12,32768,16,0.015181684,0.022672970,0.009697485,0.009939181,0.044771415
1024,12,65536,16,0.005938988,0.001919737,0.003365266,0.004214288,0.014715318
4096,1,1024,16,0.000032742,0.000140467,0.000095317,0.000033497,0.000315177
4096,1,2048,16,0.000035852,0.000186484,0.000100525,0.000059862,0.000452514
4096,1,4096,16,0.000026867,0.000241447,0.000107025,0.000107521,0.000657594
4096,1,8192,16,0.000031607,0.000423520,0.000141282,0.000192778,0.001230913
4096,1,16384,16,0.000036808,0.000665712,0.000235988,0.000328692,0.002120108
4096,1,32768,16,0.000047178,0.001301752,0.000451067,0.000634352,0.004470721
4096,1,65536,16,0.000068181,0.002420370,0.000879357,0.001252469,0.008685300
4096,2,1024,16,0.000023520,0.000198687,0.000116316,0.000063893,0.000456899
4096,2,2048,16,0.000023053,0.000218478,0.000133696,0.000123597,0.000613870
4096,2,4096,16,0.000022683,0.000253464,0.000182358,0.000218056,0.000954925
4096,2,8192,16,0.000023059,0.000339135,0.000344050,0.000400122,0.001659474
4096,2,16384,16,0.000021592,0.000529203,0.000690981,0.000792835,0.003238712
4096,2,32768,16,0.000022279,0.000838789,0.001325949,0.001500081,0.005995703
4096,2,65536,16,0.000022905,0.001623732,0.002908137,0.003831115,0.013317931
4096,4,1024,16,0.000026681,0.000144720,0.000085263,0.000062209,0.000363550
4096,4,2048,16,0.000026855,0.000146792,0.000118771,0.000123494,0.000547862
4096,4,4096,16,0.000027455,0.000155626,0.000217974,0.000229148,0.000882902
4096,4,8192,16,0.000026934,0.000190704,0.000399614,0.000464623,0.001686998
4096,4,16384,16,0.000027138,0.000262470,0.000835036,0.000993072,0.003258118
4096,4,32768,16,0.000027853,0.000430622,0.001688121,0.002059758,0.006724637
4096,4,65536,16,0.000027397,0.000671896,0.003263095,0.004028343,0.012837586
4096,8,1024,16,0.012823707,0.024106208,0.008074044,0.008060276,0.040320113
4096,8,2048,16,0.008359794,0.014075105,0.003316702,0.003324587,0.020881868
4096,8,4096,16,0.002431267,0.001880746,0.000217817,0.000227691,0.002616877
4096,8,8192,16,0.007060945,0.008843581,0.003614555,0.002404422,0.015504381
4096,8,16384,16,0.009483478,0.018392357,0.007055361,0.005787028,0.032440242
4096,8,32768,16,0.003630920,0.001890829,0.001757767,0.002174880,0.008413555
4096,8,65536,16,0.002436185,0.004744477,0.004927660,0.004240296,0.018837907
4096,12,1024,16,0.002374534,0.000133052,0.000061462,0.000061296,0.000331586
4096,12,2048,16,0.005698012,0.004905573,0.001715543,0.001741617,0.008515665
4096,12,4096,16,0.007216120,0.000120817,0.000224320,0.000231403,0.000870390
4096,12,8192,16,0.017365295,0.025793002,0.008465489,0.008537236,0.043456400
4096,12,16384,16,0.017515671,0.023659194,0.008256341,0.008794214,0.041962589
4096,12,32768,16,0.016053660,0.024330640,0.009724473,0.010130315,0.046834782
4096,12,65536,16,0.011634389,0.014876852,0.008237850,0.008705145,0.036807996
16384,1,1024,16,0.000112597,0.000447765,0.000542656,0.000062982,0.001093264
16384,1,2048,16,0.000119247,0.000477411,0.000438299,0.000087250,0.001095900
16384,1,4096,16,0.000101490,0.000578026,0.000381231,0.000134615,0.001338492
16384,1,8192,16,0.000112558,0.000783585,0.000389075,0.000233871,0.001862488
16384,1,16384,16,0.000112271,0.001134902,0.000427686,0.000441194,0.002997450
16384,1,32768,16,0.000121274,0.001727755,0.000568747,0.000769713,0.004933801
16384,1,65536,16,0.000143853,0.003174998,0.000955195,0.001365912,0.009730718
16384,2,1024,16,0.000060673,0.000703072,0.000458249,0.000072479,0.001306511
16384,2,2048,16,0.000061491,0.000735776,0.000467564,0.000128025,0.001491118
16384,2,4096,16,0.000061126,0.000735157,0.000460400,0.000235761,0.001716623
16384,2,8192,16,0.000060237,0.000851189,0.000516996,0.000454885,0.002449158
16384,2,16384,16,0.000061036,0.000994064,0.000782289,0.000900285,0.003804903
16384,2,32768,16,0.000060592,0.001283725,0.001446521,0.001627618,0.006823640
16384,2,65536,16,0.000060895,0.001920972,0.002804552,0.003303122,0.012736690
16384,4,1024,16,0.000046871,0.000495592,0.000262314,0.000062200,0.000900329
16384,4,2048,16,0.000046340,0.000463307,0.000286607,0.000114917,0.001010905
16384,4,4096,16,0.000046163,0.000455806,0.000324640,0.000222470,0.001315440
16384,4,8192,16,0.000046276,0.000496849,0.000453087,0.000452309,0.001979054
16384,4,16384,16,0.000046007,0.000576008,0.000862528,0.000921349,0.003624892
16384,4,32768,16,0.000046155,0.000720130,0.001598196,0.001873398,0.006579117
16384,4,65536,16,0.000047749,0.000960885,0.003264754,0.004094641,0.013442618
16384,8,1024,16,0.004832285,0.009920092,0.002070570,0.001658174,0.013729214
16384,8,2048,16,0.008863030,0.021160387,0.005798008,0.004913473,0.032048067
16384,8,4096,16,0.012271959,0.024894763,0.008277152,0.008205065,0.041671703
16384,8,8192,16,0.016001633,0.025637527,0.008445659,0.008449308,0.043140626
16384,8,16384,16,0.001660129,0.000323182,0.000863005,0.000920794,0.003286269
16384,8,32768,16,0.014683308,0.022937960,0.009719622,0.009996172,0.045294175
16384,8,65536,16,0.002445437,0.002231923,0.003311025,0.004152175,0.014629647
16384,12,1024,16,0.019388008,0.027176443,0.006528573,0.007208306,0.041006695
16384,12,2048,16,0.007780810,0.004231806,0.001746309,0.001162691,0.007296186
16384,12,4096,16,0.016492311,0.024946983,0.008245241,0.008238291,0.041769474
16384,12,8192,16,0.009488084,0.013057655,0.003601081,0.003655188,0.020910290
16384,12,16384,16,0.017883271,0.023358168,0.008861948,0.008842162,0.042282461
16384,12,32768,16,0.009067720,0.000319592,0.001839846,0.002134549,0.006737449
16384,12,65536,16,0.005683458,0.002865522,0.003681300,0.004522991,0.016283116
65536,1,1024,16,0.000400830,0.001675058,0.003112048,0.000172822,0.005009569
65536,1,2048,16,0.000415656,0.001797884,0.002647605,0.000200105,0.004746569
65536,1,4096,16,0.000400657,0.001924791,0.002162319,0.000249254,0.004570701
65536,1,8192,16,0.000409496,0.002098156,0.001747087,0.000347759,0.004711782
65536,1,16384,16,0.000425964,0.002532303,0.001525174,0.000557288,0.005561488
65536,1,32768,16,0.000448811,0.003868609,0.001576865,0.000962100,0.008547746
65536,1,65536,16,0.000471143,0.005617534,0.001716038,0.001761113,0.012902561
65536,2,1024,16,0.000213064,0.002744623,0.001902112,0.000152793,0.004878036
65536,2,2048,16,0.000213791,0.002645146,0.001856795,0.000215183,0.004858047
65536,2,4096,16,0.000212758,0.002768374,0.001956319,0.000348756,0.005392507
65536,2,8192,16,0.000213740,0.002777005,0.001927923,0.000655918,0.005961747
65536,2,16384,16,0.000214379,0.002942661,0.002072118,0.001282833,0.007576057
65536,2,32768,16,0.000214711,0.003270644,0.002533424,0.002400009,0.010574610
65536,2,65536,16,0.000215121,0.004000244,0.003600009,0.004545824,0.017145621
65536,4,1024,16,0.000121333,0.001802992,0.001000751,0.000103701,0.002987509
65536,4,2048,16,0.000122195,0.001717888,0.001027266,0.000176853,0.003095838
65536,4,4096,16,0.000126378,0.001663867,0.001060696,0.000306002,0.003331116
65536,4,8192,16,0.000122263,0.001678131,0.001190949,0.000607962,0.004087680
65536,4,16384,16,0.000124248,0.001767678,0.001529246,0.001194615,0.005789472
65536,4,32768,16,0.000122396,0.001876446,0.002227964,0.002221664,0.008740944
65536,4,65536,16,0.000125108,0.002252882,0.004065868,0.004618932,0.016074130
65536,8,1024,16,0.011952882,0.026128245,0.008673616,0.008094673,0.042986074
65536,8,2048,16,0.008821871,0.015183146,0.005436764,0.004092076,0.024889862
65536,8,4096,16,0.005646498,0.009790026,0.003840701,0.003526125,0.017513038
65536,8,8192,16,0.013956770,0.024027904,0.008935177,0.008516818,0.042097764
65536,8,16384,16,0.007708575,0.015357826,0.005333296,0.003922680,0.025863216
65536,8,32768,16,0.001706423,0.001011978,0.002322453,0.002359275,0.008203235
65536,8,65536,16,0.003139564,0.003662985,0.004001825,0.004484274,0.017221322
65536,12,1024,16,0.009501205,0.012352676,0.003575463,0.003296380,0.019330244
65536,12,2048,16,0.005679705,0.003166577,0.000424310,0.000168434,0.003937753
65536,12,4096,16,0.013385574,0.018795902,0.005265893,0.005106834,0.029497332
65536,12,8192,16,0.015346981,0.024618647,0.010321152,0.007826319,0.043471684
65536,12,16384,16,0.014044466,0.025566329,0.010087532,0.009193280,0.046235911
65536,12,32768,16,0.008738577,0.008525416,0.003824199,0.003830939,0.018694716
65536,12,65536,16,0.003501255,0.002522509,0.004444067,0.004793661,0.017019496
262144,1,1024,16,0.001604428,0.007222108,0.016067088,0.000617840,0.023960366
262144,1,2048,16,0.001636537,0.007730839,0.014281751,0.000660481,0.022795215
262144,1,4096,16,0.001603668,0.007652504,0.012451433,0.000692275,0.021018243
262144,1,8192,16,0.001628541,0.008507709,0.010498238,0.000811006,0.020303712
262144,1,16384,16,0.001664491,0.009502498,0.008568958,0.000999103,0.020090840
262144,1,32768,16,0.001722045,0.012036495,0.006941498,0.001425283,0.022739831
262144,1,65536,16,0.001712597,0.014338435,0.006056234,0.002151266,0.026650130
262144,2,1024,16,0.000833394,0.011385405,0.008452708,0.000397792,0.020328489
262144,2,2048,16,0.000825952,0.010934119,0.007809569,0.000458840,0.019381806
262144,2,4096,16,0.000824881,0.010978464,0.007625658,0.000600579,0.019576263
262144,2,8192,16,0.000825978,0.010534441,0.007474065,0.000862977,0.019508344
262144,2,16384,16,0.000822393,0.011091834,0.007521029,0.001434786,0.021499379
262144,2,32768,16,0.000825049,0.010956607,0.007651644,0.002583030,0.023712670
262144,2,65536,16,0.000824023,0.011649432,0.008177060,0.004868723,0.029874351
262144,4,1024,16,0.000431012,0.007103717,0.004336031,0.000212767,0.011738601
262144,4,2048,16,0.000433658,0.006970097,0.004040333,0.000284387,0.011531703
262144,4,4096,16,0.000436129,0.006634995,0.003993525,0.000410179,0.011393690
262144,4,8192,16,0.000430128,0.006673603,0.004016787,0.000725171,0.012163190
262144,4,16384,16,0.000432370,0.006404286,0.004257966,0.001241847,0.013187583
262144,4,32768,16,0.000433209,0.006349672,0.004622887,0.002403349,0.016097135
262144,4,65536,16,0.000432452,0.006614765,0.005984276,0.004654690,0.022338541
262144,8,1024,16,0.003490537,0.006910739,0.002178662,0.000120681,0.009306183
262144,8,2048,16,0.002466442,0.005724635,0.002106310,0.000181776,0.008210802
262144,8,4096,16,0.009727646,0.022644883,0.007188152,0.005157270,0.035412101
262144,8,8192,16,0.011515154,0.027685771,0.010449366,0.008648339,0.047575986
262144,8,16384,16,0.003122665,0.007671197,0.002475339,0.001292574,0.012808249
262144,8,32768,16,0.011053955,0.025937983,0.011293335,0.011862369,0.051884113
262144,8,65536,16,0.004046488,0.006201639,0.005125952,0.004716588,0.021366431
262144,12,1024,16,0.003155538,0.003210363,0.001465163,0.000095669,0.004866510
262144,12,2048,16,0.008193529,0.012535355,0.004730756,0.003382158,0.020856392
262144,12,4096,16,0.008210132,0.012276206,0.004707927,0.003552880,0.020912279
262144,12,8192,16,0.015956306,0.025489031,0.011258511,0.008715090,0.046301077
262144,12,16384,16,0.006892110,0.007050815,0.003406777,0.002870017,0.014674546
262144,12,32768,16,0.008303175,0.004447319,0.002746924,0.002386073,0.012339981
262144,12,65536,16,0.005800727,0.005362058,0.004993508,0.004673480,0.020216687
1048576,1,1024,16,0.006485776,0.034338657,0.078750023,0.002465739,0.115861203
1048576,1,2048,16,0.006380255,0.030558319,0.071619460,0.002412130,0.104853281
1048576,1,4096,16,0.006490023,0.034717142,0.064483659,0.002548324,0.102079066
1048576,1,8192,16,0.006327540,0.031333216,0.056899391,0.002570765,0.091356127
1048576,1,16384,16,0.006512057,0.042618038,0.049611427,0.002881310,0.096492076
1048576,1,32768,16,0.006411871,0.044127993,0.041987798,0.003195464,0.091467046
1048576,1,65536,16,0.006930853,0.072217681,0.034188413,0.004169236,0.116163738
1048576,2,1024,16,0.003246658,0.044357615,0.039769836,0.001315908,0.085726852
1048576,2,2048,16,0.003255183,0.045168585,0.036854670,0.001414112,0.083811275
1048576,2,4096,16,0.003226216,0.043705156,0.034071049,0.001623072,0.079762519
1048576,2,8192,16,0.003233739,0.043263816,0.031440359,0.001876183,0.077406413
1048576,2,16384,16,0.003228649,0.041930830,0.030236798,0.002391148,0.076109374
1048576,2,32768,16,0.003198148,0.043749664,0.031440139,0.003588286,0.082047553
1048576,2,65536,16,0.003263652,0.042802455,0.030475674,0.005862144,0.084924547
1048576,4,1024,16,0.001657993,0.029602746,0.019898999,0.000655105,0.050434184
1048576,4,2048,16,0.001660962,0.027646272,0.018351836,0.000715384,0.047087751
1048576,4,4096,16,0.001655107,0.027124831,0.017349726,0.000870836,0.045710580
1048576,4,8192,16,0.001652093,0.026105072,0.015914431,0.001143362,0.043985726
1048576,4,16384,16,0.001654956,0.026166154,0.015723689,0.001661296,0.045202778
1048576,4,32768,16,0.001654438,0.025261695,0.016217969,0.002857323,0.047548836
1048576,4,65536,16,0.001646219,0.024738747,0.016705732,0.005017323,0.052225146
1048576,8,1024,16,0.005226124,0.023979732,0.011390681,0.001939726,0.037574142
1048576,8,2048,16,0.004338073,0.018986975,0.009273336,0.000378158,0.028997499
1048576,8,4096,16,0.002515501,0.014716680,0.008653158,0.000455851,0.024186693
1048576,8,8192,16,0.012240013,0.034514948,0.013554399,0.005524554,0.054456587
1048576,8,16384,16,0.003380913,0.016065477,0.008266133,0.001440930,0.027309977
1048576,8,32768,16,0.004910421,0.013506257,0.008412971,0.002742492,0.027740086
1048576,8,65536,16,0.004079584,0.016747410,0.009316883,0.005068729,0.036977990
1048576,12,1024,16,0.006389213,0.016350073,0.006726464,0.000224215,0.023562045
1048576,12,2048,16,0.012033785,0.015795343,0.006204191,0.000258952,0.022611627
1048576,12,4096,16,0.009453910,0.017060832,0.005809506,0.000374294,0.023623933
1048576,12,8192,16,0.014285406,0.025650138,0.009086672,0.003911431,0.039571870
1048576,12,16384,16,0.011696917,0.014662933,0.007617518,0.003076631,0.027030591
1048576,12,32768,16,0.009441530,0.009346152,0.005767771,0.002668836,0.020922201
1048576,12,65536,16,0.010169102,0.012168954,0.006959760,0.005041976,0.030042810
4194304,1,1024,16,0.025502263,0.126476447,0.372119277,0.009696700,0.509338916
4194304,1,2048,16,0.025835510,0.148417943,0.342460509,0.009844481,0.501960950
4194304,1,4096,16,0.025520868,0.147685915,0.313882991,0.009763606,0.472633015
4194304,1,8192,16,0.025851359,0.164365201,0.285767445,0.009990874,0.462126318
4194304,1,16384,16,0.025569739,0.175787807,0.257375358,0.010116100,0.444378609
4194304,1,32768,16,0.025840958,0.225440251,0.227553206,0.010711451,0.467334569
4194304,1,65536,16,0.025625070,0.227590627,0.199851757,0.011405402,0.443605882
4194304,2,1024,16,0.012908716,0.176194810,0.186025664,0.004931226,0.368235326
4194304,2,2048,16,0.012777718,0.176365797,0.171924844,0.005055528,0.354499291
4194304,2,4096,16,0.012816261,0.180562989,0.159010392,0.005292247,0.346254616
4194304,2,8192,16,0.012736113,0.180529827,0.147185097,0.005793754,0.335298148
4194304,2,16384,16,0.012960114,0.174234358,0.135686666,0.006469119,0.318016161
4194304,2,32768,16,0.012832621,0.179716562,0.124609427,0.007476717,0.315460048
4194304,2,65536,16,0.012856514,0.180070646,0.121795598,0.009673918,0.318820806
4194304,4,1024,16,0.006451309,0.115110287,0.093187209,0.002475750,0.211811775
4194304,4,2048,16,0.006454789,0.110230772,0.085963935,0.002532967,0.199925249
4194304,4,4096,16,0.006407981,0.111575987,0.079403168,0.002662694,0.195017659
4194304,4,8192,16,0.006577195,0.109927285,0.073184223,0.002986540,0.187971304
4194304,4,16384,16,0.006432482,0.106239978,0.069026217,0.003641509,0.180466593
4194304,4,32768,16,0.007371732,0.106083398,0.064242656,0.004944464,0.178966879
4194304,4,65536,16,0.006451823,0.107697959,0.063961419,0.006982712,0.185446307
4194304,8,1024,16,0.007261394,0.072247897,0.046767884,0.001256552,0.121259752
4194304,8,2048,16,0.006778997,0.064096907,0.043188037,0.001277628,0.109747165
4194304,8,4096,16,0.006717267,0.064575725,0.039722594,0.001358754,0.107064355
4194304,8,8192,16,0.006860337,0.068600170,0.036736110,0.001554362,0.108751106
4194304,8,16384,16,0.006729950,0.062905396,0.034674557,0.002000903,0.101119335
