Running with 1 threads:
Schedule: dynamic
chunk_size,average_time
1,17.29660000
2,12.09400000
4,9.58670000
8,8.47162000
16,8.52096000
32,7.81438000
64,7.70610000
128,7.64100000
256,7.37104000
512,7.34472000
1024,7.38462000
2048,7.22708000
4096,7.27306000
8192,7.26158000
16384,7.24374000
32768,7.29752000
65536,7.28688000
131072,7.27962000
262144,7.27108000
524288,7.27486000
1048576,7.47532000
2097152,7.26330000
4194304,7.26002000
8388608,7.25040000
16777216,7.24048000
33554432,7.29884000
67108864,7.27012000
134217728,7.27808000

Schedule: static
chunk_size,average_time
1,8.34576000
2,7.89762000
4,7.81352000
8,7.69500000
16,8.15136000
32,7.86506000
64,7.78186000
128,7.67926000
256,7.74474000
512,7.70136000
1024,7.59412000
2048,7.61082000
4096,7.56934000
8192,7.60184000
16384,7.64544000
32768,7.58260000
65536,7.61848000
131072,7.61758000
262144,7.60966000
524288,7.65574000
1048576,7.61754000
2097152,7.61162000
4194304,10.32970000
8388608,10.48340000
16777216,7.61928000
33554432,7.62232000
67108864,7.87420000
134217728,7.92844000


Running with 2 threads:
Schedule: dynamic
chunk_size,average_time
1,52.69360000
2,28.80620000
4,14.61390000
8,12.77160000
16,9.67730000
32,6.93446000
64,5.77758000
128,5.20992000
256,5.23486000
512,4.89928000
1024,5.39326000
2048,4.32804000
4096,4.20868000
8192,4.39650000
16384,4.43746000
32768,4.99474000
65536,5.20238000
131072,4.93722000
262144,5.33204000
524288,5.06276000
1048576,5.26160000
2097152,5.95496000
4194304,5.67686000
8388608,3.72034000
16777216,3.69540000
33554432,3.83956000
67108864,3.85284000
134217728,3.68254000

Schedule: static
chunk_size,average_time
1,4.48021000
2,4.24889000
4,4.11605000
8,4.06275000
16,4.26121000
32,4.10826000
64,4.13872000
128,4.03335000
256,4.02585000
512,4.06576000
1024,4.02207000
2048,4.01083000
4096,4.03222000
8192,4.03503000
16384,4.00935000
32768,4.01769000
65536,4.06979000
131072,4.01936000
262144,4.00808000
524288,3.89372000
1048576,3.86371000
2097152,3.86477000
4194304,3.90058000
8388608,3.86011000
16777216,3.97743000
33554432,3.87389000
67108864,3.88043000
134217728,4.08283000


Running with 3 threads:
Schedule: dynamic
chunk_size,average_time
1,61.69600000
2,26.71220000
4,15.20560000
8,12.15210000
16,7.48480000
32,4.45958000
64,3.65998000
128,3.28666000
256,3.00230000
512,2.86652000
1024,2.79876000
2048,3.00516000
4096,2.99964000
8192,2.78798000
16384,2.79258000
32768,2.74484000
65536,2.68970000
131072,2.84242000
262144,2.54300000
524288,2.78462000
1048576,2.51136000
2097152,2.50448000
4194304,2.76974000
8388608,2.54208000
16777216,2.56348000
33554432,2.77682000
67108864,3.00360000
134217728,2.81368000

Schedule: static
chunk_size,average_time
1,4.00116000
2,3.32930000
4,2.96638000
8,3.17498000
16,2.94402000
32,2.87938000
64,3.27910000
128,3.20190000
256,3.60336000
512,3.12806000
1024,3.09014000
2048,3.12810000
4096,3.12684000
8192,3.14654000
16384,2.77996000
32768,2.78292000
65536,2.90520000
131072,2.71008000
262144,2.77156000
524288,3.03206000
1048576,2.79178000
2097152,3.46480000
4194304,2.69028000
8388608,3.01904000
16777216,2.84054000
33554432,3.05776000
67108864,3.00518000
134217728,3.70740000


Running with 4 threads:
Schedule: dynamic
chunk_size,average_time
1,60.28600000
2,25.56900000
4,13.42060000
8,9.62974000
16,6.07744000
32,3.75064000
64,3.11808000
128,2.82670000
256,2.39928000
512,2.33738000
1024,2.33732000
2048,2.21090000
4096,2.32308000
8192,2.47316000
16384,2.58560000
32768,2.16142000
65536,2.23318000
131072,2.11454000
262144,2.26896000
524288,1.89029000
1048576,2.05112000
2097152,2.02168000
4194304,2.13486000
8388608,2.14994000
16777216,2.18694000
33554432,1.89908000
67108864,2.10730000
134217728,2.55488000

Schedule: static
chunk_size,average_time
1,2.54586000
2,2.37298000
4,2.27354000
8,2.50104000
16,2.91060000
32,2.70338000
64,2.26066000
128,2.78220000
256,2.46748000
512,2.41640000
1024,2.51300000
2048,2.23060000
4096,2.72624000
8192,2.58548000
16384,2.19958000
32768,2.71058000
65536,2.31666000
131072,2.64720000
262144,2.05274000
524288,2.26956000
1048576,2.16442000
2097152,2.00922000
4194304,2.61066000
8388608,2.92944000
16777216,2.33902000
33554432,1.99674000
67108864,2.64192000
134217728,2.30974000


Running with 5 threads:
Schedule: dynamic
chunk_size,average_time
1,55.42060000
2,25.48160000
4,13.56720000
8,9.06702000
16,5.47632000
32,3.44978000
64,2.68500000
128,2.44138000
256,2.37576000
512,2.18422000
1024,2.04246000
2048,2.12246000
4096,2.03310000
8192,2.01752000
16384,1.91011000
32768,2.03114000
65536,1.76429000
131072,1.76891000
262144,1.67455000
524288,1.79056000
1048576,1.76116000
2097152,1.55657000
4194304,1.76297000
8388608,1.63042000
16777216,1.76880000
33554432,1.77316000
67108864,1.88375000
134217728,2.02110000

Schedule: static
chunk_size,average_time
1,2.68604000
2,2.69172000
4,1.94026000
8,2.50534000
16,2.53208000
32,2.19012000
64,2.27682000
128,1.85430000
256,2.38748000
512,2.21138000
1024,2.16104000
2048,2.21146000
4096,1.89927000
8192,2.13440000
16384,2.23528000
32768,1.92252000
65536,2.24702000
131072,1.91969000
262144,1.65530000
524288,1.82161000
1048576,2.25388000
2097152,1.85401000
4194304,1.93443000
8388608,2.13266000
16777216,1.99322000
33554432,1.99523000
67108864,2.29350000
134217728,2.62622000


Running with 6 threads:
Schedule: dynamic
chunk_size,average_time
1,54.63740000
2,24.59480000
4,12.93110000
8,8.44500000
16,5.02748000
32,3.14344000
64,2.39822000
128,2.19780000
256,1.96209000
512,1.86043000
1024,1.83356000
2048,1.81555000
4096,1.84062000
8192,1.81045000
16384,1.80112000
32768,1.76683000
65536,1.60560000
131072,1.50028000
262144,1.52472000
524288,1.43510000
1048576,1.45000000
2097152,1.44030000
4194304,1.47767000
8388608,1.48664000
16777216,1.47456000
33554432,1.61606000
67108864,1.47806000
134217728,1.90875000

Schedule: static
chunk_size,average_time
1,2.11356000
2,2.39816000
4,2.21956000
8,2.56940000
16,2.37992000
32,2.11700000
64,1.86481000
128,2.14388000
256,1.84037000
512,2.10254000
1024,2.05484000
2048,1.84890000
4096,2.05340000
8192,2.05394000
16384,2.03484000
32768,1.84186000
65536,1.83079000
131072,1.97258000
262144,1.83579000
524288,2.17084000
1048576,1.77590000
2097152,1.81638000
4194304,1.78645000
8388608,1.85960000
16777216,2.05312000
33554432,2.00446000
67108864,2.32106000
134217728,2.15678000


Running with 7 threads:
Schedule: dynamic
chunk_size,average_time
1,54.76700000
2,24.82240000
4,13.14570000
8,8.16170000
16,4.69920000
32,3.02588000
64,2.27922000
128,2.02542000
256,1.86353000
512,1.81890000
1024,1.78032000
2048,1.74011000
4096,1.76681000
8192,1.72764000
16384,1.72365000
32768,1.59790000
65536,1.50142000
131072,1.37954000
262144,1.34774000
524288,1.34243000
1048576,1.27335000
2097152,1.32310000
4194304,1.26761000
8388608,1.31822000
16777216,1.43353000
33554432,1.49086000
67108864,1.89587000
134217728,1.93834000

Schedule: static
chunk_size,average_time
1,2.35570000
2,2.34178000
4,2.30622000
8,2.30314000
16,2.43056000
32,2.41982000
64,2.10006000
128,2.34474000
256,2.12492000
512,2.06540000
1024,1.92523000
2048,2.04270000
4096,1.97473000
8192,1.88523000
16384,1.91164000
32768,2.02324000
65536,1.73775000
131072,1.69920000
262144,1.93807000
524288,2.02786000
1048576,1.89537000
2097152,1.99730000
4194304,2.09800000
8388608,1.97429000
16777216,2.12664000
33554432,2.12416000
67108864,2.09634000
134217728,2.07350000


Running with 8 threads:
Schedule: dynamic
chunk_size,average_time
1,53.84920000
2,24.71200000
4,13.29440000
8,8.61446000
16,4.46814000
32,2.88084000
64,2.16132000
128,1.88027000
256,1.71399000
512,1.65801000
1024,1.70921000
2048,1.64526000
4096,1.66188000
8192,1.63883000
16384,1.59057000
32768,1.53901000
65536,1.40027000
131072,1.25539000
262144,1.22948000
524288,1.16376000
1048576,1.15761000
2097152,1.25088000
4194304,1.17317000
8388608,1.22870000
16777216,1.27055000
33554432,1.43135000
67108864,1.63822000
134217728,1.92556000

Schedule: static
chunk_size,average_time
1,2.23954000
2,2.13350000
4,2.25350000
8,2.69536000
16,2.65500000
32,2.20146000
64,2.30590000
128,2.27504000
256,1.96948000
512,1.84484000
1024,1.87447000
2048,1.89104000
4096,1.94636000
8192,1.85515000
16384,1.89149000
32768,1.90080000
65536,1.83494000
131072,1.89345000
262144,1.91080000
524288,1.90509000
1048576,1.95640000
2097152,1.97100000
4194304,1.89137000
8388608,1.98051000
16777216,1.99056000
33554432,1.98196000
67108864,2.02820000
134217728,1.98758000
