Scheduling,Threads,Best Chunk Size,Execution Time,Speedup,Efficiency
static,1,4096.000,7.569,0.955,0.955
dynamic,1,2048.000,7.227,1.000,1.000
static,2,8388608.000,3.860,1.872,0.936
dynamic,2,134217728.000,3.683,1.963,0.981
static,3,4194304.000,2.690,2.686,0.895
dynamic,3,2097152.000,2.504,2.886,0.962
static,4,33554432.000,1.997,3.619,0.905
dynamic,4,524288.000,1.890,3.823,0.956
static,5,262144.000,1.655,4.366,0.873
dynamic,5,2097152.000,1.557,4.643,0.929
static,6,1048576.000,1.776,4.070,0.678
dynamic,6,524288.000,1.435,5.036,0.839
static,7,131072.000,1.699,4.253,0.608
dynamic,7,4194304.000,1.268,5.701,0.814
static,8,65536.000,1.835,3.939,0.492
dynamic,8,1048576.000,1.158,6.243,0.780
