Number of threads: 1
array_size,average_time
1024,0.00005120
2048,0.00007735
4096,0.00013985
8192,0.00026485
16384,0.00054395
32768,0.00106825
65536,0.00204290
131072,0.00373505
262144,0.00630465
524288,0.00951945
1048576,0.01333570
2097152,0.02285130
4194304,0.03819250
8388608,0.06886100
16777216,0.12845300
33554432,0.24671900
67108864,0.48567700
134217728,0.96330500
268435456,2.06610000
536870912,3.82989000
1073741824,7.72930000

Number of threads: 2
array_size,average_time
1024,0.00013590
2048,0.00018380
4096,0.00021030
8192,0.00028095
16384,0.00032490
32768,0.00059640
65536,0.00102870
131072,0.00189575
262144,0.00344220
524288,0.00580570
1048576,0.00953770
2097152,0.01460050
4194304,0.02567360
8388608,0.04850210
16777216,0.09070300
33554432,0.16626600
67108864,0.32404400
134217728,0.61702000
268435456,1.23793000
536870912,2.61029000
1073741824,6.90675000

Number of threads: 3
array_size,average_time
1024,0.00018330
2048,0.00018425
4096,0.00020815
8192,0.00024345
16384,0.00039165
32768,0.00060740
65536,0.00095250
131072,0.00165655
262144,0.00275915
524288,0.00431520
1048576,0.00547485
2097152,0.01057550
4194304,0.01972540
8388608,0.03601500
16777216,0.06682100
33554432,0.13376300
67108864,0.25340800
134217728,0.49481100
268435456,0.96915500
536870912,1.95637000
1073741824,4.03959000

Number of threads: 4
array_size,average_time
1024,0.00022125
2048,0.00024370
4096,0.00031600
8192,0.00030020
16384,0.00045020
32768,0.00053775
65536,0.00098620
131072,0.00167145
262144,0.00221280
524288,0.00292520
1048576,0.00461675
2097152,0.00867600
4194304,0.01648130
8388608,0.02933050
16777216,0.05598650
33554432,0.11608800
67108864,0.21462700
134217728,0.43947300
268435456,0.84440000
536870912,1.63152000
1073741824,3.29939000

Number of threads: 5
array_size,average_time
1024,0.00021570
2048,0.00026635
4096,0.00031250
8192,0.00041540
16384,0.00036265
32768,0.00056725
65536,0.00075845
131072,0.00123710
262144,0.00170585
524288,0.00245165
1048576,0.00380335
2097152,0.00668200
4194304,0.01231170
8388608,0.02368180
16777216,0.04642400
33554432,0.09096900
67108864,0.19153200
134217728,0.36502700
268435456,0.72813000
536870912,1.43839000
1073741824,2.91544000

Number of threads: 6
array_size,average_time
1024,0.00296220
2048,0.00167240
4096,0.00267050
8192,0.00228770
16384,0.00301890
32768,0.00283295
65536,0.00218595
131072,0.00267335
262144,0.00214130
524288,0.00511305
1048576,0.00432370
2097152,0.00715115
4194304,0.01120300
8388608,0.02092820
16777216,0.04045060
33554432,0.07963800
67108864,0.16258100
134217728,0.31894100
268435456,0.64657500
536870912,1.37696000
1073741824,2.73805000

Number of threads: 7
array_size,average_time
1024,0.00652690
2048,0.00673805
4096,0.00661280
8192,0.00701265
16384,0.00752685
32768,0.00704815
65536,0.00710035
131072,0.00734635
262144,0.00812755
524288,0.00924280
1048576,0.01057430
2097152,0.01224900
4194304,0.01568070
8388608,0.02572320
16777216,0.04620190
33554432,0.08847500
67108864,0.17207300
134217728,0.33861400
268435456,0.65482000
536870912,1.31198000
1073741824,2.59830000

Number of threads: 8
array_size,average_time
1024,0.00568315
2048,0.00535910
4096,0.00528665
8192,0.00572550
16384,0.00570865
32768,0.00579655
65536,0.00644895
131072,0.00643765
262144,0.00674100
524288,0.00831415
1048576,0.00881600
2097152,0.01187740
4194304,0.01661380
8388608,0.02757430
16777216,0.04910070
33554432,0.09261350
67108864,0.16556900
134217728,0.32061700
268435456,0.63778000
536870912,1.29330000
1073741824,2.50677000
