Number of threads: 1
array_size,average_time
1024,0.00004040
2048,0.00007195
4096,0.00012410
8192,0.00025355
16384,0.00045460
32768,0.00083915
65536,0.00163695
131072,0.00327540
262144,0.00584165
524288,0.00925070
1048576,0.01460020
2097152,0.02286240
4194304,0.03751440
8388608,0.08122950
16777216,0.14610200
33554432,0.24843700
67108864,0.49972500
134217728,1.01525000
268435456,1.95251000
536870912,4.06994000
1073741824,8.11410000

Number of threads: 2
array_size,average_time
1024,0.00012930
2048,0.00014990
4096,0.00020085
8192,0.00027640
16384,0.00037145
32768,0.00061665
65536,0.00105300
131072,0.00193190
262144,0.00411205
524288,0.00625760
1048576,0.00901980
2097152,0.01573860
4194304,0.02517260
8388608,0.04189240
16777216,0.08152850
33554432,0.18585300
67108864,0.34497000
134217728,0.64348500
268435456,1.04140000
536870912,2.20973000
1073741824,4.85267000

Number of threads: 3
array_size,average_time
1024,0.00021485
2048,0.00023700
4096,0.00023315
8192,0.00028435
16384,0.00035975
32768,0.00052140
65536,0.00080925
131072,0.00147370
262144,0.00249080
524288,0.00421270
1048576,0.00720325
2097152,0.01202900
4194304,0.02154570
8388608,0.03772490
16777216,0.06836850
33554432,0.10566100
67108864,0.20656600
134217728,0.45718400
268435456,0.83308000
536870912,1.69483000
1073741824,3.89550000

Number of threads: 4
array_size,average_time
1024,0.00020440
2048,0.00026090
4096,0.00027595
8192,0.00029870
16384,0.00035040
32768,0.00049380
65536,0.00073815
131072,0.00118760
262144,0.00212785
524288,0.00312810
1048576,0.00517625
2097152,0.00894435
4194304,0.01693290
8388608,0.03130390
16777216,0.05753100
33554432,0.10950900
67108864,0.16777200
134217728,0.30502600
268435456,0.72988000
536870912,1.50669000
1073741824,3.47624000

Number of threads: 5
array_size,average_time
1024,0.00309085
2048,0.00206045
4096,0.00258925
8192,0.00245310
16384,0.00196545
32768,0.00100910
65536,0.00226940
131072,0.00195800
262144,0.00274345
524288,0.00210870
1048576,0.00362130
2097152,0.00656545
4194304,0.01248230
8388608,0.02591260
16777216,0.05182500
33554432,0.10214000
67108864,0.20747100
134217728,0.41951100
268435456,0.83016500
536870912,1.64803000
1073741824,3.30863000

Number of threads: 6
array_size,average_time
1024,0.00710940
2048,0.00693785
4096,0.00680485
8192,0.00703560
16384,0.00724360
32768,0.00705860
65536,0.00727275
131072,0.00747070
262144,0.00813745
524288,0.00863535
1048576,0.01053450
2097152,0.01248380
4194304,0.01867810
8388608,0.03041280
16777216,0.05551050
33554432,0.11223600
67108864,0.20386100
134217728,0.35542700
268435456,0.71548000
536870912,1.38449000
1073741824,2.55819000

Number of threads: 7
array_size,average_time
1024,0.00739150
2048,0.00709710
4096,0.00708745
8192,0.00726555
16384,0.00691415
32768,0.00685950
65536,0.00635320
131072,0.00647825
262144,0.00717725
524288,0.00795355
1048576,0.00996745
2097152,0.01354760
4194304,0.01915230
8388608,0.03652260
16777216,0.06171250
33554432,0.11613800
67108864,0.21600800
134217728,0.39787200
268435456,0.87334000
536870912,1.57142000
1073741824,2.87979000

Number of threads: 8
array_size,average_time
1024,0.00676695
2048,0.00608495
4096,0.00625105
8192,0.00653670
16384,0.00635010
32768,0.00619575
65536,0.00636385
131072,0.00658035
262144,0.00734745
524288,0.00813365
1048576,0.00932385
2097152,0.01243530
4194304,0.01883490
8388608,0.03046480
16777216,0.06032050
33554432,0.11795700
67108864,0.22420600
134217728,0.47922200
268435456,0.79655000
536870912,1.51713000
1073741824,2.97491000
